Meta Data
Label,Value,
Date,4/14/2016
Profile,HillsAndValleys
ScanDuration,10 s
ScanLength,2 mm
ScanResolution,0.666445 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,6.5 µm
StylusType,Radius: 12.5 μm
Time,11:35:52 AM


Data Leveling Position
R Cursor Position,544.772889667319 µm
R Cursor Width,0 µm
M Cursor Position,1098.61416952126 µm
M Cursor Width,54.7755111943455 µm


Data
Lateral(µm),Total Profile(nm),,
0,-10.4542270748066,,
0.666444518493835,-7.78003438974783,,
1.33288903698767,-7.27981707536408,,
1.99933355548151,-7.07953999199961,,
2.66577807397534,-5.63396605615946,,
3.33222259246918,-6.88443291635281,,
3.99866711096301,-8.49563891275578,,
4.66511162945685,-7.94099148103682,,
5.33155614795068,-6.56330226104185,,
5.99800066644452,-5.25095029231256,,
6.66444518493835,-4.97995836946235,,
7.33088970343219,-6.00767263387273,,
7.99733422192602,-7.2774697351283,,
8.66377874041986,-7.36704683788056,,
9.33022325891369,-5.77391067151987,,
9.99666777740753,-3.92478723102899,,
10.6631122959014,-3.38632853945906,,
11.3295568143952,-4.44526557466685,,
11.996001332889,-5.80313260582647,,
12.6624458513829,-5.87456213374553,,
13.3288903698767,-4.45029679620443,,
13.9953348883705,-2.73092398042711,,
14.6617794068644,-2.21979179882732,,
15.3282239253582,-3.8350815428834,,
15.994668443852,-5.60979302863411,,
16.6611129623459,-6.69491881595703,,
17.3275574808397,-6.09257871753328,,
17.9940019993336,-4.39782896711307,,
18.6604465178274,-3.54591808945642,,
19.3268910363212,-4.29015564518894,,
19.9933355548151,-5.48832738257865,,
20.6597800733089,-5.68288993080042,,
21.3262245918027,-4.51941837288086,,
21.9926691102966,-2.59337187411958,,
22.6591136287904,-1.46672141579724,,
23.3255581472842,-2.36704000581479,,
23.9920026657781,-3.98915462315903,,
24.6584471842719,-5.20597201250523,,
25.3248917027657,-5.08585467658988,,
25.9913362212596,-3.67397354706405,,
26.6577807397534,-2.78324153366542,,
27.3242252582473,-3.36827724960187,,
27.9906697767411,-5.27267762733904,,
28.6571142952349,-6.65505869092303,,
29.3235588137288,-6.73148017355725,,
29.9900033322226,-5.2695024536785,,
30.6564478507164,-4.01790459245558,,
31.3228923692103,-4.15765144830762,,
31.9893368877041,-5.06171174138217,,
32.6557814061979,-6.0252852538697,,
33.3222259246918,-5.97639941131966,,
33.9886704431856,-4.90777142189556,,
34.6551149616794,-4.35632754167081,,
35.3215594801733,-5.02129209867731,,
35.9880039986671,-6.31939676406403,,
36.6544485171609,-7.36022810074825,,
37.3208930356548,-6.82890619031663,,
37.9873375541486,-5.08295278115117,,
