0.701,14.4,0.701,15.2
0.75,18.4,0.75,18.4
0.8,24,0.8,25.6
0.85,41.6,0.85,41.6
0.875,60.8,0.875,58.4
0.89,74.4,0.89,76
0.9,84,0.9,85.6
0.905,87.2,0.905,85.6
0.906,87.2,0.906,85.6
0.9075,87.2,0.9075,85.6
0.91,84.8,0.91,84.8
0.92,76,0.92,73.6
0.94,54.4,0.94,52
0.96,40,0.96,40.8
1,24.8,1,25.6
1.1,12,1.1,12
