Meta Data
Label,Value,
Date,4/15/2016
Profile,HillsAndValleys
ScanDuration,10 s
ScanLength,2 mm
ScanResolution,0.666445 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,6.5 µm
StylusType,Radius: 12.5 μm
Time,11:14:41 AM


Data Leveling Position
R Cursor Position,1640.03475040197 µm
R Cursor Width,68.7123696355741 µm
M Cursor Position,1409.00873295588 µm
M Cursor Width,64.2484759659369 µm


Data
Lateral(µm),Total Profile(nm),,
0,1518.30448373831,,
0.666444518493835,1518.57076011916,,
1.33288903698767,1519.06160576658,,
1.99933355548151,1519.14915478659,,
2.66577807397534,1519.39993078262,,
3.33222259246918,1519.46078042431,,
3.99866711096301,1519.5131230046,,
4.66511162945685,1519.74473571016,,
5.33155614795068,1519.4110935831,,
5.99800066644452,1519.27641428871,,
6.66444518493835,1519.10829829442,,
7.33088970343219,1518.66799972737,,
7.99733422192602,1518.69430584744,,
8.66377874041986,1518.6720541474,,
9.33022325891369,1518.83503449587,,
9.99666777740753,1519.09921874028,,
10.6631122959014,1519.61948986345,,
11.3295568143952,1519.45916870984,,
11.996001332889,1519.43766796837,,
12.6624458513829,1519.31648192102,,
13.3288903698767,1519.30375133955,,
13.9953348883705,1519.28106067416,,
14.6617794068644,1519.18155405151,,
15.3282239253582,1519.2928405848,,
15.994668443852,1519.1808212153,,
16.6611129623459,1518.97670283974,,
17.3275574808397,1518.50965423997,,
17.9940019993336,1518.26770791424,,
18.6604465178274,1518.25063300418,,
19.3268910363212,1518.19603977755,,
19.9933355548151,1518.02640451548,,
20.6597800733089,1517.90750587335,,
21.3262245918027,1517.57825842293,,
21.9926691102966,1517.25869189369,,
22.6591136287904,1517.56140571909,,
23.3255581472842,1518.00670121159,,
23.9920026657781,1518.33429756056,,
24.6584471842719,1518.70015382992,,
25.3248917027657,1518.77728491583,,
25.9913362212596,1518.5980584722,,
26.6577807397534,1518.29283608922,,
27.3242252582473,1518.32829043781,,
27.9906697767411,1518.54620379101,,
28.6571142952349,1518.66040637855,,
29.3235588137288,1518.54203290796,,
29.9900033322226,1518.30482189678,,
30.6564478507164,1517.6279575765,,
31.3228923692103,1517.39584562954,,
31.9893368877041,1517.25801534503,,
32.6557814061979,1517.05820035435,,
33.3222259246918,1517.00713860295,,
33.9886704431856,1516.70913394332,,
34.6551149616794,1516.44859783382,,
35.3215594801733,1516.69404319583,,
35.9880039986671,1517.05381570654,,
36.6544485171609,1517.39018817659,,
37.3208930356548,1517.72856220389,,
37.9873375541486,1517.49805532608,,
38.6537820726425,1517.17972869251,,
39.3202265911363,1517.04907873897,,
39.9866711096301,1517.1127681487,,
40.653115628124,1517.65388478591,,
41.3195601466178,1517.77321524736,,
41.9860046651116,1517.40807009891,,
42.6524491836055,1516.90389394946,,
43.3188937020993,1516.37338508879,,
43.9853382205931,1516.73365332942,,
44.651782739087,1517.27125705447,,
45.3182272575808,1517.67683692649,,
45.9846717760746,1517.57461385,,
46.6511162945685,1517.22454939725,,
47.3175608130623,1516.91540059334,,
47.9840053315561,1517.20566298292,,
48.65044985005,1518.02086695754,,
49.3168943685438,1518.84983721375,,
49.9833388870377,1519.21482185204,,
50.6497834055315,1518.77880081816,,
51.3162279240253,1518.10643702403,,
51.9826724425192,1517.95390267125,,
52.649116961013,1518.16409411465,,
53.3155614795068,1518.53634214864,,
53.9820059980007,1518.29007297976,,
54.6484505164945,1517.79562028011,,
55.3148950349883,1517.03075708349,,
55.9813395534822,1516.72121271759,,
56.647784071976,1516.72725054251,,
57.3142285904698,1516.81871987771,,
57.9806731089637,1516.82254031423,,
58.6471176274575,1516.62648659361,,
59.3135621459513,1516.54239053146,,
59.9800066644452,1516.79996238962,,
60.646451182939,1517.51831563147,,
61.3128957014329,1518.13840290741,,
61.9793402199267,1518.66723593528,,
62.6457847384205,1518.17909726265,,
63.3122292569144,1517.3676873591,,
63.9786737754082,1516.79552831812,,
64.645118293902,1516.89764918028,,
65.3115628123959,1516.9787528067,,
65.9780073308897,1516.982417537,,
66.6444518493835,1516.67161097497,,
67.3108963678774,1516.09268060243,,
67.9773408863712,1515.56656271536,,
68.643785404865,1515.34844794536,,
69.3102299233589,1515.67447293034,,
69.9766744418527,1515.77251066969,,
70.6431189603465,1516.00220256866,,
71.3095634788404,1515.99195757893,,
71.9760079973342,1515.6857507233,,
72.6424525158281,1515.97954709925,,
73.3088970343219,1516.35892704246,,
73.9753415528157,1516.87943728854,,
74.6417860713096,1517.13352976206,,
75.3082305898034,1517.04782545632,,
75.9746751082972,1516.871935728,,
76.6411196267911,1517.16679538765,,
77.3075641452849,1517.45916765226,,
77.9740086637787,1517.52645051468,,
78.6404531822726,1517.04393222019,,
79.3068977007664,1516.35363145172,,
79.9733422192602,1515.68240045121,,
80.6397867377541,1515.60207545283,,
81.3062312562479,1516.04958896574,,
81.9726757747417,1516.21857769767,,
82.6391202932356,1516.20820429851,,
83.3055648117294,1515.60613834617,,
83.9720093302233,1515.35776683377,,
84.6384538487171,1515.75148091521,,
85.3048983672109,1516.59112945148,,
85.9713428857048,1517.46093865535,,
86.6377874041986,1517.62670788386,,
87.3042319226924,1517.16999959826,,
87.9706764411863,1516.72121632698,,
88.6371209596801,1516.28135504541,,
89.3035654781739,1516.32942545765,,
89.9700099966678,1516.54085617219,,
90.6364545151616,1516.06652372023,,
91.3028990336554,1515.82182606344,,
91.9693435521493,1515.10082358103,,
92.6357880706431,1514.77145378531,,
93.3022325891369,1515.06967755209,,
93.9686771076308,1515.07572968605,,
94.6351216261246,1515.114548305,,
95.3015661446184,1514.96252860704,,
95.9680106631123,1514.70625213742,,
96.6344551816061,1515.18967997075,,
97.3008997001,1516.10507242679,,
97.9673442185938,1517.05601367354,,
98.6337887370876,1517.68613339779,,
99.3002332555815,1517.5441098635,,
99.9666777740753,1516.95923261011,,
100.633122292569,1516.8672273385,,
101.299566811063,1517.38798299606,,
101.966011329557,1518.05658186545,,
102.632455848051,1517.77612344528,,
103.298900366544,1517.13434746166,,
103.965344885038,1516.35015604802,,
104.631789403532,1515.63219910457,,
105.298233922026,1515.86853216012,,
105.96467844052,1516.47113197907,,
106.631122959014,1516.20004123441,,
107.297567477507,1515.76055649547,,
107.964011996001,1515.02159969282,,
108.630456514495,1514.60507733256,,
109.296901032989,1515.38686649463,,
109.963345551483,1516.44220737922,,
110.629790069977,1517.18279603014,,
111.296234588471,1517.2236014157,,
111.962679106964,1516.52876669211,,
112.629123625458,1516.01155110282,,
113.295568143952,1516.33235478877,,
113.962012662446,1516.7129638822,,
114.62845718094,1516.92885606991,,
115.294901699434,1516.31743967143,,
115.961346217927,1515.15439538025,,
116.627790736421,1514.11654373257,,
117.294235254915,1513.8573724198,,
117.960679773409,1514.25150630168,,
118.627124291903,1514.74696376243,,
119.293568810397,1514.47103497287,,
119.96001332889,1513.9226693446,,
120.626457847384,1513.46366653648,,
121.292902365878,1513.76232463544,,
121.959346884372,1514.89638106941,,
122.625791402866,1515.76871047132,,
123.29223592136,1516.30509404908,,
123.958680439853,1515.93151373701,,
124.625124958347,1514.98593255234,,
125.291569476841,1514.90760345395,,
125.958013995335,1515.23691030751,,
126.624458513829,1515.87564269603,,
127.290903032323,1516.32547357856,,
127.957347550816,1515.65673612812,,
128.62379206931,1514.99376347933,,
129.290236587804,1514.5446631167,,
129.956681106298,1515.01506687109,,
130.623125624792,1515.61080048998,,
131.289570143286,1515.91586132423,,
131.956014661779,1515.69701809792,,
132.622459180273,1515.15524547692,,
133.288903698767,1514.83517101248,,
133.955348217261,1515.55021170965,,
134.621792735755,1516.11606440971,,
135.288237254249,1516.72340576606,,
135.954681772742,1516.47288215844,,
136.621126291236,1515.54683109133,,
137.28757080973,1514.99393011563,,
137.954015328224,1514.9934304226,,
138.620459846718,1515.78365149791,,
139.286904365212,1516.21457086869,,
139.953348883705,1515.82287340244,,
140.619793402199,1515.04107819807,,
141.286237920693,1514.40214977169,,
141.952682439187,1514.36633892572,,
142.619126957681,1514.738872991,,
143.285571476175,1514.94997632614,,
143.952015994668,1514.87573370693,,
144.618460513162,1514.35225020177,,
145.284905031656,1513.78209662176,,
145.95134955015,1514.02225253313,,
146.617794068644,1514.83415906388,,
147.284238587138,1515.51696078942,,
147.950683105631,1515.69830171621,,
148.617127624125,1515.07329908263,,
149.283572142619,1514.31678240579,,
149.950016661113,1514.11105525349,,
150.616461179607,1514.48786956883,,
151.282905698101,1514.83059591228,,
