3	0.7409193752	0.8261749282	0.8561129883
5	0.5515114146	0.6514071549	0.6892435075
7	0.4456657896	0.5348953061	0.5949259749
9	0.3788159211	0.4766393816	0.551394806
11	0.2896827632	0.4130874641	0.4933532475
3	0.7520610199	0.820878935	0.8633681831
5	0.5403697699	0.6408151687	0.6892435075
7	0.4345241448	0.5243033198	0.5804155853
9	0.3732450988	0.4819353748	0.5441396112
11	0.2952535856	0.4130874641	0.4860980527
3	0.7520610199	0.820878935	0.8633681831
5	0.557082237	0.6461111618	0.6964987023
7	0.4400949672	0.5348953061	0.5949259749
9	0.3955283883	0.4713433885	0.551394806
11	0.3063952303	0.3971994847	0.4933532475
3	0.7576318423	0.7996949625	0.8561129883
5	0.5515114146	0.6249271893	0.6819883127
7	0.4289533225	0.5190073267	0.5731603905
9	0.3843867435	0.4766393816	0.5368844164
11	0.300824408	0.4024954778	0.4860980527
3	0.7576318423	0.8102869488	0.8488577935
5	0.5515114146	0.6302231824	0.6964987023
7	0.4345241448	0.5243033198	0.5949259749
9	0.3788159211	0.4819353748	0.551394806
11	0.2952535856	0.4183834572	0.4860980527
